obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
1292bbbaf1da2f5f,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,134.3,,index_value,public_domain,,,2018Q3,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
ba45b8d1a3353664,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,135,,index_value,public_domain,,,2018Q4,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
38001bce238a08a9,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,135.8,,index_value,public_domain,,,2019Q1,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
40f67434bb746ef1,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,136.6,,index_value,public_domain,,,2019Q2,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
e0970526511e0525,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,137.8,,index_value,public_domain,,,2019Q3,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
20c877b92fe7a5c1,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,138.4,,index_value,public_domain,,,2019Q4,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
0f4c1fe8b83ee3bf,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,139.7,,index_value,public_domain,,,2020Q1,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
aa1fcf32cc93be77,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,140.3,,index_value,public_domain,,,2020Q2,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
21b9c0dd7c2de06d,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,141,,index_value,public_domain,,,2020Q3,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
31126fcb17de6ce1,US,index,"Employment Cost Index (ECI), current dollar index","Total compensation for civilian workers in natural resources, construction, and maintenance occupations, current dollar index",series_id CIU1010000400000I; not seasonally adjusted; owner_code 1; industry_code 000000; occupation_code 454900; estimate_code 01,index (2005-12 = 100),national,US,United States,,,,141.7,,index_value,public_domain,,,2020Q4,,bls-eci-ci-current,,https://download.bls.gov/pub/time.series/ci/ci.data.0.Current,US-PD-17USC105,,"基準: news release Table 4 の見出し ""Indexes (Dec. 2005=100)"""
