file	count	contexts	flag
aeo/遺品整理・生前整理サービス.html	2	footer_neutrality=1;other_text=1	
aeo/鉄骨材料詳細全サイズ.html	2	footer_neutrality=1;other_text=1	
aeo/防水工事-適正価格.html	2	footer_company_line=1;footer_neutrality=1	
aeo/防火区画貫通材-スリーブ.html	2	footer_neutrality=1;other_text=1	
aeo/防犯カメラ設置工事.html	2	footer_neutrality=1;other_text=1	
aeo/防音・遮音工事.html	2	footer_neutrality=1;other_text=1	
aeo/障子・ふすま張替え工事.html	2	footer_neutrality=1;other_text=1	
aeo/雨水利用システム工事.html	2	footer_neutrality=1;other_text=1	
aeo/雨漏り修理-適正価格.html	2	footer_company_line=1;footer_neutrality=1	
aeo/電気工事-適正価格.html	2	footer_company_line=1;footer_neutrality=1	
aeo/電気接続材詳細.html	2	footer_neutrality=1;other_text=1	
agents/index.html	2	jsonld_name=1;other_text=1	
auth/google-callback-hacker.html	1	footer_neutrality=1	
auth/line-callback-hacker.html	1	footer_neutrality=1	
auth/line-callback.html	1	footer_neutrality=1	
badges/index.html	3	copyright=1;other_text=2	
bank-transfer.html	1	footer_neutrality=1	
biz/index.html	4	copyright=1;jsonld_name=1;other_text=2	HAS_SIGNED_OR_CLAIM
blog/article-2026-04-17.html	2	copyright=1;jsonld_name=1	
blog/article-2026-05-17.html	2	copyright=1;jsonld_name=1	
blog/article-2026-06-02.html	4	copyright=1;footer_neutrality=1;jsonld_name=2	
blog/article-2026-06-03.html	4	copyright=1;footer_neutrality=1;jsonld_name=2	
blog/article-2026-06-10.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-15.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-16.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-17.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-18.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-19.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-20.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-21.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-22.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-23.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-24.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-25.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-26.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-27.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-28.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-29.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-06-30.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-07-01.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-07-02.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/article-2026-07-03.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/essay-01-daiku-kara-ai.html	4	copyright=1;footer_neutrality=1;jsonld_name=2	
blog/index.html	1	footer_neutrality=1	
blog/shizai-genyu-gaiheki-2026-07.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/souba-IHクッキングヒタ-2026-07-05.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/souba-エクステリア-2026-07-06.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/souba-エコキュート-2026-08-18.html	2	copyright=1;jsonld_name=1	
blog/souba-キッチン-2026-07-07.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/souba-サビス連携-2026-07-08.html	2	copyright=1;jsonld_name=1	
blog/souba-シロアリ-2026-07-04.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/souba-トイレ-2026-07-09.html	2	copyright=1;jsonld_name=1	
blog/souba-バスルム-2026-07-10.html	2	copyright=1;jsonld_name=1	
blog/souba-フロリング-2026-07-11.html	2	copyright=1;jsonld_name=1	
blog/souba-マンションリノベ-2026-07-12.html	2	copyright=1;jsonld_name=1	
blog/souba-付帯工事-2026-07-13.html	2	copyright=1;jsonld_name=1	
blog/souba-内窓二重窓-2026-07-14.html	2	copyright=1;jsonld_name=1	
blog/souba-内装-2026-07-15.html	2	copyright=1;jsonld_name=1	
blog/souba-内装仕上げ-2026-07-16.html	2	copyright=1;jsonld_name=1	
blog/souba-商業大規模-2026-07-17.html	2	copyright=1;jsonld_name=1	
blog/souba-基礎工事-2026-07-18.html	2	copyright=1;jsonld_name=1	
blog/souba-外壁塗装-2026-07-04.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/souba-外構庭-2026-07-19.html	2	copyright=1;jsonld_name=1	
blog/souba-屋根工事-2026-07-20.html	2	copyright=1;jsonld_name=1	
blog/souba-床下工事-2026-07-21.html	2	copyright=1;jsonld_name=1	
blog/souba-店舗内装-2026-07-22.html	2	copyright=1;jsonld_name=1	
blog/souba-戸建てリノベ-2026-07-23.html	2	copyright=1;jsonld_name=1	
blog/souba-断熱工事-2026-07-24.html	2	copyright=1;jsonld_name=1	
blog/souba-新築-2026-07-25.html	2	copyright=1;jsonld_name=1	
blog/souba-水道工事-2026-07-26.html	2	copyright=1;jsonld_name=1	
blog/souba-特殊工事-2026-07-27.html	2	copyright=1;jsonld_name=1	
blog/souba-玄関ドア-2026-07-28.html	2	copyright=1;jsonld_name=1	
blog/souba-給湯器-2026-07-04.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
blog/souba-解体工事-2026-07-29.html	2	copyright=1;jsonld_name=1	
blog/souba-設備機器-2026-07-30.html	2	copyright=1;jsonld_name=1	
blog/souba-足場-2026-07-31.html	2	copyright=1;jsonld_name=1	
blog/souba-防水工事-2026-08-01.html	2	copyright=1;jsonld_name=1	
blog/souba-電気工事-2026-08-02.html	2	copyright=1;jsonld_name=1	
blog/souba-面格子防犯建材-2026-08-18.html	2	copyright=1;jsonld_name=1	
check.html	2	footer_neutrality=1;jsonld_name=1	
check/index.html	3	copyright=1;footer_neutrality=1;jsonld_name=1	
cite/index.html	5	copyright=1;jsonld_name=1;other_text=2;source_line=1	
consent/index.html	1	footer_neutrality=1	
ehn-en/index.html	2	footer_neutrality=1;jsonld_name=1	
ehn/amamori-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/choshitsu-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/gaiheki-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/kiso-hokyo-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/kyutoki-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/reform-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/shiroari-shoudoku-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/yane-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/yokushitsu-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
ehn/yukashita-kanki-mitsumori/index.html	3	footer_neutrality=1;jsonld_name=1;other_text=1	
evidence-en/index.html	2	footer_neutrality=1;jsonld_name=1	
faq/aimitsumori-barabara-erabi/index.html	3	copyright=1;jsonld_name=2	
faq/chukikin-shiharai-oujiru/index.html	3	copyright=1;jsonld_name=2	
faq/chuko-kounyu-reform-mitsumori/index.html	3	copyright=1;jsonld_name=2	
faq/gaisan-shousai-mitsumori-chigai/index.html	3	copyright=1;jsonld_name=2	
faq/gyosha-erabikata/index.html	3	copyright=1;jsonld_name=2	
faq/index.html	1	copyright=1	
faq/jisha-seko-marunage-miwake/index.html	3	copyright=1;jsonld_name=2	
faq/kyoyaku-waribiki-hontou/index.html	3	copyright=1;jsonld_name=2	
faq/kyutoki-koshou-isogu/index.html	3	copyright=1;jsonld_name=2	
faq/mitsumori-keiyaku-gimu/index.html	3	copyright=1;jsonld_name=2	
faq/mitsumori-takai-saisho/index.html	3	copyright=1;jsonld_name=2	
faq/mitsumori-yukokigen-neage/index.html	3	copyright=1;jsonld_name=2	
faq/mitsumorisho-doko-miru/index.html	3	copyright=1;jsonld_name=2	
faq/mukinri-loan-jittai/index.html	3	copyright=1;jsonld_name=2	
