endpoint	state	outcome	tool_count	server_name	compensation_fields	record_sha256
https://api.agentnewsstand.com/mcp	measured	speaks_mcp_and_lists_tools	16	Agent Newsstand	capabilities.payment	c6332903ebd26d1ae44b7bb06ddd212277040e2d3bf4700ff77ec96bcfb166ef
https://api.vapagent.com/mcp	measured	speaks_mcp_and_lists_tools	16	vap-e	capabilities.pricing	96059a8a89d09a4b3c4ca665f3fec10eac25b930e3a94f149ea03eac724af2ee
https://tooloracle.io/conductor/mcp/	measured	speaks_mcp_and_lists_tools	16	DORA OS Conductor	payment	043f0694df49e1867bc8d3484283d63739945beb360f42a74cbae95d27681cd3
https://tooloracle.io/reporting/mcp/	measured	speaks_mcp_and_lists_tools	16	ReportingOracle	payment	1ca5cea8d525afc46570854567ccea36bffe7c79602f3d3854eed5a4b91024dd
https://hostdefi.com/api/v1/mcp	measured	speaks_mcp_and_lists_tools	15	hostdefi-x402	payments	6f28ec8fcca33e134af308521a1f47ae943e065534b3267e7241735676bb2911
https://podcast-shorts-a2a-production.up.railway.app/mcp/	measured	speaks_mcp_and_lists_tools	15	Agent Media Toolkit	payment	e05806526f374486d4f5a9caeb737d4a91ca3e46bca633b3df51be2479b45031
https://tooloracle.io/dora/mcp/	measured	speaks_mcp_and_lists_tools	15	DORAOracle	payment	9c29cff817a8fddd8e24c1326e31c71345341b4e74b6c8ba237768afed5812ce
https://tooloracle.io/drift/mcp/	measured	speaks_mcp_and_lists_tools	15	DriftOracle	payment	0aa332df2073e259efbc3671e8a9429bc170bf4f5f8be9b2f03d4597255b308f
https://hive-mcp-morph.onrender.com/mcp	measured	speaks_mcp_and_lists_tools	14	hive-mcp-morph	payment	b9a51ffe5913e05b36774977b503ccd8ce3d1b32ea2a070207dda93d313377be
https://mcp.horizonshield.dev	measured	speaks_mcp_and_lists_tools	14	horizon-shield	compensation	d7c7a22f076159c76d1b035e5939abb11518636644cebf105fc8c5248af787df
https://tooloracle.io/cloud/mcp/	measured	speaks_mcp_and_lists_tools	14	CloudOracle	payment	8a174e236b3c69319133ad605f3bdbb78ebc402139b95de5979d890dc06493a3
https://tooloracle.io/eventfabric/mcp/	measured	speaks_mcp_and_lists_tools	14	DORA OS EventFabric	payment	d78dbec8b681593754bafcc3f36c6b2c287f4cfcfff4bef4af902689b14f64d8
https://tooloracle.io/zk/mcp/	measured	speaks_mcp_and_lists_tools	14	ZKEvidenceOracle	payment	b82dc6e11bdab0dc7d98051f2519d99f77b680b3bf0bb7d8545dc116ceefc424
https://tooloracle.io/mcp/	measured	speaks_mcp_and_lists_tools	13	RankOracle	payment	0326719a04a6c36f8a775404bbd663bcc283a9a017b8bbdcd74648270d33123f
https://tooloracle.io/risk/mcp/	measured	speaks_mcp_and_lists_tools	13	RiskOracle	payment	5e0254f0e39aaee7a2b115200b7fdadb5aa4f06e4d2f2ded24c9cd46856110e4
https://watchtower-api.com/mcp	measured	speaks_mcp_and_lists_tools	13	watchtower-sanctions-screening	payment	c5378d05dac4c52f43ab8f26f90430dc062024063db936e0707c0e9ef85dca49
https://tooloracle.io/aml/mcp/	measured	speaks_mcp_and_lists_tools	12	AMLOracle	payment	1e9f008e0c469dbf9be040d88074dd396849b7222a653efc3b9db3c3334f719f
https://tooloracle.io/arbitrum/mcp/	measured	speaks_mcp_and_lists_tools	12	ArbitrumOracle	payment	7e9019eea9e242aed8627256357ac659def43080edaa153eb2d5ff0f59e5a28c
https://tooloracle.io/cybershield/mcp/	measured	speaks_mcp_and_lists_tools	12	CyberShield	payment	9bd13379ec3e9bea4cea7653e05074fb156e026afc75c7aaef5ef332e046bcde
https://tooloracle.io/flare/mcp/	measured	speaks_mcp_and_lists_tools	12	FlareOracle	payment	f0ab9ba93be6f83d9d07959bc520a0b844254673651935c2c6e18f52ba48c214
https://tooloracle.io/health/mcp/	measured	speaks_mcp_and_lists_tools	12	HealthGuard	payment	9a73bcbf1406b2849242feb86c7c19e00adad676f605edaf7844aba62ef8e126
https://tooloracle.io/incident/mcp/	measured	speaks_mcp_and_lists_tools	12	IncidentOracle	payment	61ff052a95eeab1efa25f52aff54dd5f4d1afad1a6955b484c68d206a08684fa
https://tooloracle.io/insurance/mcp/	measured	speaks_mcp_and_lists_tools	12	InsuranceOracle	payment	aa41a1751cc452da5b396a832df6dd84d0414765ae6f771425a5c9dedd291507
https://tooloracle.io/iso20022/mcp/	measured	speaks_mcp_and_lists_tools	12	ISO20022Oracle	payment	000fd80a6b21e3d33d1fb1f681f41b5a63c1e7fcb6129cc6bc3cd513e017b401
https://tooloracle.io/policy/mcp/	measured	speaks_mcp_and_lists_tools	12	PolicyOracle	payment	4277d3f238b8f3fbce38f696e5df0c3e62e68572c89c55e7b7f4f374b7b1a57a
https://tooloracle.io/predict/mcp/	measured	speaks_mcp_and_lists_tools	12	PredictOracle	payment	f5f6fd0d46cc63e3036f196008e1572a830f22dab672e0a3e9db3adadf824418
https://tooloracle.io/solana/mcp/	measured	speaks_mcp_and_lists_tools	12	SolanaOracle	payment	826c948c9c13f9b0f409450df8e5da563579895da637210e0bdbe85d4c0b2b67
https://afriref.dev/mcp	measured	speaks_mcp_and_lists_tools	11	afriref	payment	5d782af5fe83b6df7c421e44e160a9ea028b6d022edbda2dcc9ebe0abd97cfe0
https://agents.privatedao.org/mcp	measured	speaks_mcp_and_lists_tools	11	pdao-agent-exchange	payment,pricing	e5a59e277012a997c7ef68bd3733d0676506484af137a196f7cd7039f1c3d5a2
https://api.myco2suite.io/v1/mcp	measured	speaks_mcp_and_lists_tools	11	MyCO2 Carbon API	payment	0da6dcdf1e3d2ce9f5120ecb99ee7791c56e4d3bb72c0570533aa06f59cefa88
https://eltociear-skill-audit.hf.space/mcp	measured	speaks_mcp_and_lists_tools	11	skill-audit	payment	fa61f74c6d7a3ed30ede64fd4a2b98a62f2ad861907c505bc1e483759e9277ff
https://tooloracle.io/contract/mcp/	measured	speaks_mcp_and_lists_tools	11	ContractOracle	payment	ee172f6dce73d07304c91b9f67fa166fc78db081a054c798e0856097e0d024a2
https://tooloracle.io/governance/mcp/	measured	speaks_mcp_and_lists_tools	11	GovernanceOracle	payment	f689d43873484e54c7697250fadba7781f1f33506e5a47341a663ef6b9ae79e1
https://tooloracle.io/news2/mcp/	measured	speaks_mcp_and_lists_tools	11	ResearchOracle	payment	cf09ad0b7d0c2838e2b7094948dd6f865987bc30ff7192cd4ab05aac54a669a4
