obs_id,country,layer,category,item_name,spec,unit,geo_level,geo_code,geo_name,area_label,area_code,area_members,price,currency,price_basis,price_status,ref_value,ref_note,period,effective_from,source_id,source_page,evidence_url,license,jccdb_v4_item_id,note
ada59aac0319c344,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 (3)仕上,"番号(3) | 構造・階数 ＲＣ-２ | 概略延べ面積 750㎡(501㎡～1,000㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,114310,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
ac4b2ff081fe5240,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 (3)仕上,"番号(4) | 構造・階数 ＲＣ-３ | 概略延べ面積 1,500㎡(1,001㎡～2,250㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,103330,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
e391bac848d2013e,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 (4)その他,番号(1) | 構造・階数 ＲＣ-１ | 概略延べ面積 200㎡(～300㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,,JPY,cost_per_m2,not_set,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,原本「○」: 通常その建物に必要と考えられるものであり、「第３ 標準予算単価算出基準」を用いるなどし、実情に応じて別途計上する(表に単価なし)。官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
14053470153ae48e,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 (4)その他,番号(2) | 構造・階数 ＲＣ-２ | 概略延べ面積 400㎡(301㎡～500㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,,JPY,cost_per_m2,not_set,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,原本「○」: 通常その建物に必要と考えられるものであり、「第３ 標準予算単価算出基準」を用いるなどし、実情に応じて別途計上する(表に単価なし)。官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
75807203160e4326,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 (4)その他,"番号(3) | 構造・階数 ＲＣ-２ | 概略延べ面積 750㎡(501㎡～1,000㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,,JPY,cost_per_m2,not_set,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,原本「○」: 通常その建物に必要と考えられるものであり、「第３ 標準予算単価算出基準」を用いるなどし、実情に応じて別途計上する(表に単価なし)。官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
61447660136bc40d,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 (4)その他,"番号(4) | 構造・階数 ＲＣ-３ | 概略延べ面積 1,500㎡(1,001㎡～2,250㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,,JPY,cost_per_m2,not_set,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,原本「○」: 通常その建物に必要と考えられるものであり、「第３ 標準予算単価算出基準」を用いるなどし、実情に応じて別途計上する(表に単価なし)。官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
9c271d2a9fc8470d,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 小計,番号(1) | 構造・階数 ＲＣ-１ | 概略延べ面積 200㎡(～300㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,368450,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
08b53238e9875880,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 小計,番号(2) | 構造・階数 ＲＣ-２ | 概略延べ面積 400㎡(301㎡～500㎡),円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,328570,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
0e6365e26321ccf0,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 小計,"番号(3) | 構造・階数 ＲＣ-２ | 概略延べ面積 750㎡(501㎡～1,000㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,273290,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
40b07e379095427f,JP,work,新営予算単価 第２ 標準予算単価(庁舎),庁舎 建築工事 小計,"番号(4) | 構造・階数 ＲＣ-３ | 概略延べ面積 1,500㎡(1,001㎡～2,250㎡)",円/㎡(建物延べ面積),pref,13,東京都,東京（地域別工事費指数100）,,,245710,JPY,cost_per_m2,published_pdl,,,FY2027,,mlit-shinei-yosan-r9,PDF 6頁(印字 -4-),https://www.mlit.go.jp/gobuild/content/001464509.pdf,PDL1.0,,官庁施設の新営の予算用の標準予算単価。東京(地域別工事費指数100)の建物延べ面積1㎡当たり、共通費相当分を含み消費税相当分を除く。他地域は第１の地域別工事費指数を掛ける
